FrameIndex,VisualStim,Stim0,Stim1,Position_X,Position_Y,Speed,Motion,Layer1,Layer1_Denoised,Layer2,Layer2_Denoised,Resistant,Resistant_Denoised,Behavior,Behavior_Denoised
396,0,0,0,13.05084765,28.734304905,12.05,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
397,0,0,0,13.22529315,28.769529462,10.68,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
398,0,0,0,13.36267413,28.902555741,11.47,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
399,0,0,0,13.559283599999999,28.983982914,12.77,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
400,0,0,0,13.82118792,28.953105882,15.82,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
401,0,0,0,13.98378699,28.968061767000002,9.8,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
402,0,0,0,14.16923136,28.958496228,11.14,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
403,0,0,0,14.417626259999999,28.94517783,14.93,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
404,0,0,0,14.61339534,28.936910703,11.76,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
405,0,0,0,14.76264954,28.919312955,9.02,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
406,0,0,0,14.897604,28.933797777,8.14,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
407,0,0,0,15.161635289999998,28.941820152,15.85,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
408,0,0,0,15.420057179999999,28.907534367,15.64,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
409,0,0,0,15.580730430000001,28.905038127,9.64,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
410,0,0,0,15.728548770000002,28.905336186,8.87,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
411,0,0,0,15.887287259999999,28.883303964,9.62,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
412,0,0,0,16.10704422,28.8461205,13.37,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
413,0,0,0,16.273469910000003,28.84278942,9.99,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
414,0,0,0,16.4452833,28.865987286,10.4,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
415,0,0,0,16.76143884,28.847470098,19.0,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
416,0,0,0,17.10292338,28.733910396,21.59,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
417,0,0,0,17.37937869,28.677968235,16.92,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
418,0,0,0,17.67543375,28.603603317,18.32,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
419,0,0,0,17.891035079999998,28.539558201,13.49,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
420,0,0,0,18.08626593,28.499940297,11.95,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
421,0,0,0,18.29782962,28.476260862,12.77,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
422,0,0,0,18.49134564,28.47904779,11.61,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
423,0,0,0,18.759956369999998,28.337744661,18.21,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
424,0,0,0,19.017205230000002,28.215109929,17.1,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
425,0,0,0,19.23544764,28.115894124,14.38,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
426,0,0,0,19.4729787,27.987928839,16.19,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
427,0,0,0,19.72702323,27.86566548,16.92,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
428,0,0,0,19.970680469999998,27.828073875,14.79,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
429,0,0,0,20.167910459999998,27.827437074,11.83,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
430,0,0,0,20.38808406,27.698079051,15.32,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
431,0,0,0,20.56175172,27.576826662,12.71,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
432,0,0,0,20.78959644,27.415103541,16.76,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
433,0,0,0,20.97040593,27.261182517,14.25,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
434,0,0,0,21.11141325,27.185183913,9.61,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
435,0,0,0,21.316503870000002,27.116966397,12.97,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
436,0,0,0,21.577788599999998,27.065247372,15.98,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
437,0,0,0,21.805007460000002,26.96109564,15.0,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
438,0,0,0,22.01577009,26.77494117,16.87,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
439,0,0,0,22.16702163,26.62410735,12.82,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
440,0,0,0,22.29850353,26.46075369,12.58,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
441,0,0,0,22.41776883,26.34194748,10.1,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
442,0,0,0,22.62839913,26.2121679,14.84,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
443,0,0,0,22.81582116,26.14634514,11.92,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
444,0,0,0,22.90379046,26.08892934,6.3,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
445,0,0,0,22.91044593,26.02106451,4.09,1,Layer1_Walk,Layer1_Walk,Layer2_Walk,Layer2_Walk,,,Walk,Walk
446,0,0,0,22.87334919,26.01505413,2.25,1,Layer1_Stationary,,Layer2_Walk,Layer2_Walk,,,Walk,Walk
447,0,0,0,22.77565242,26.06711538,6.64,1,Layer1_Walk,,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
448,0,0,0,22.725164279999998,26.08699857,3.26,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
449,0,0,0,22.65908181,26.091298169999998,3.97,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
450,0,0,0,22.63200759,26.09156772,1.62,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
451,0,0,0,22.594202759999998,26.07083112,2.59,1,Layer1_Stationary,Layer1_Stationary,Layer2_Stationary,Layer2_Stationary,,,Stationary,Stationary
